Date,Open,High,Low,Close,Volume,Adj Close
2016-06-24,118.760002,121.110001,118.290001,119.440002,6860600,119.440002
2016-06-23,121.480003,121.75,120.639999,121.209999,3832800,121.209999
2016-06-22,121.309998,121.449997,120.050003,120.620003,6578900,120.620003
2016-06-21,123.919998,124.00,122.309998,122.629997,4749000,122.629997
2016-06-20,123.32,124.080002,123.269997,123.419998,5951000,123.419998
2016-06-17,122.230003,122.709999,121.419998,122.269997,8331400,122.269997
2016-06-16,121.839996,122.629997,120.949997,122.470001,3931800,122.470001
2016-06-15,123.150002,123.32,122.129997,122.25,4168100,122.25
2016-06-14,122.540001,123.190002,121.93,122.510002,6351400,122.510002
2016-06-13,121.949997,123.970001,121.849998,122.989998,5436700,122.989998
2016-06-10,121.800003,122.660004,121.610001,122.360001,4347400,122.360001
2016-06-09,122.07,123.089996,122.07,122.790001,4583400,122.790001
2016-06-08,121.980003,122.489998,120.889999,122.110001,3925900,122.110001
2016-06-07,122.339996,123.379997,121.900002,121.900002,4562100,121.900002
2016-06-06,121.790001,122.169998,121.209999,122.00,4901700,122.00
2016-06-03,121.089996,121.669998,120.339996,121.349998,4643000,121.349998
2016-06-02,120.699997,121.510002,120.550003,121.169998,4740200,121.169998
2016-06-01,122.059998,122.739998,121.50,121.970001,5057200,121.080003
2016-05-31,123.300003,123.410004,121.620003,122.059998,7995200,121.169343
2016-05-27,124.269997,124.68,123.120003,123.25,3222800,122.350662
2016-05-26,123.379997,123.980003,123.230003,123.790001,3716300,122.886723
2016-05-25,123.75,123.989998,123.029999,123.260002,5307400,122.360591
2016-05-24,123.389999,124.769997,123.010002,123.949997,4494100,123.045551
2016-05-23,122.760002,123.730003,122.470001,122.809998,7081600,121.91387
2016-05-20,124.739998,125.00,122.139999,122.559998,9735900,121.665694
2016-05-19,125.480003,125.599998,124.68,125.290001,6255100,124.375777
2016-05-18,127.050003,127.470001,125.730003,126.209999,7303200,125.289062
2016-05-17,129.600006,129.970001,127.300003,127.690002,5826200,126.758266
2016-05-16,128.509995,129.729996,128.050003,129.639999,4343600,128.694034
2016-05-13,129.740005,130.160004,128.710007,128.830002,6568700,127.889947
2016-05-12,129.740005,130.539993,129.160004,130.119995,4286800,129.170528
2016-05-11,131.240005,131.619995,129.139999,129.139999,6890200,128.197683
2016-05-10,130.850006,131.960007,130.850006,131.600006,4082600,130.639739
2016-05-09,130.649994,131.50,130.350006,130.830002,5006800,129.875354
2016-05-06,129.380005,130.580002,128.589996,130.580002,4418400,129.627178
2016-05-05,129.309998,129.979996,129.00,129.279999,4519700,128.336661
2016-05-04,127.57,130.429993,127.57,129.330002,6613700,128.386299
2016-05-03,127.400002,128.990005,127.379997,128.399994,4048400,127.463077
2016-05-02,126.650002,128.220001,126.50,128.199997,4830800,127.264539
2016-04-29,127.93,127.93,126.099998,126.489998,6276900,125.567018
2016-04-28,127.860001,128.850006,127.440002,127.919998,3385800,126.986584
2016-04-27,127.940002,128.559998,127.779999,128.300003,4436200,127.363816
2016-04-26,127.419998,128.339996,127.029999,127.709999,4082300,126.778117
2016-04-25,125.07,127.529999,125.010002,127.459999,6979900,126.529941
2016-04-22,128.169998,128.399994,125.360001,125.50,9311300,124.584244
2016-04-21,128.550003,128.75,125.599998,125.790001,7947600,124.872129
2016-04-20,129.309998,129.800003,128.509995,128.550003,5006700,127.611992
2016-04-19,128.910004,129.350006,128.119995,128.860001,4606300,127.919727
2016-04-18,127.779999,128.910004,127.68,128.850006,4525600,127.909806
2016-04-15,127.080002,128.039993,126.959999,127.779999,3103800,126.847606
2016-04-14,127.139999,128.089996,127.040001,127.510002,4834800,126.579579
2016-04-13,127.709999,127.919998,126.080002,126.889999,4985200,125.964101
2016-04-12,128.080002,128.279999,126.889999,127.610001,5211400,126.678848
2016-04-11,128.350006,128.690002,127.449997,127.559998,6973700,126.62921
2016-04-08,128.279999,128.740005,127.279999,127.959999,3625600,127.026293
2016-04-07,127.370003,128.520004,127.019997,128.139999,4720800,127.20498
2016-04-06,127.470001,127.690002,126.839996,127.519997,5619900,126.589501
2016-04-05,126.839996,127.779999,126.389999,127.379997,6282200,126.450523
2016-04-04,127.050003,127.870003,126.879997,127.57,4239300,126.639139
2016-04-01,125.190002,127.389999,124.870003,127.019997,5212400,126.093149
2016-03-31,126.150002,126.959999,125.610001,125.68,7685900,124.762931
2016-03-30,124.900002,126.099998,124.599998,125.830002,4853700,124.911838
2016-03-29,123.43,124.57,123.339996,123.970001,7188200,123.065409
2016-03-28,124.00,124.199997,123.120003,123.169998,4784400,122.271244
2016-03-24,123.690002,124.00,122.660004,123.290001,5796700,122.390371
2016-03-23,124.099998,125.00,123.860001,124.190002,4143600,123.283805
2016-03-22,123.790001,124.389999,123.559998,123.82,3494500,122.916502
2016-03-21,123.660004,124.50,123.050003,123.809998,4050100,122.906573
2016-03-18,123.43,124.120003,122.75,124.080002,14783800,123.174607
2016-03-17,123.269997,123.849998,123.110001,123.160004,6108700,122.261322
2016-03-16,123.330002,124.059998,122.669998,123.519997,6716700,122.618688
2016-03-15,122.300003,123.760002,122.209999,123.43,5061400,122.529349
2016-03-14,121.809998,123.489998,121.449997,122.900002,7912100,122.003217
2016-03-11,120.489998,122.010002,120.360001,121.550003,7042300,120.66307
2016-03-10,119.910004,120.860001,118.660004,119.980003,6171200,119.104526
2016-03-09,119.239998,120.199997,118.459999,119.639999,6428200,118.767003
2016-03-08,116.209999,119.080002,116.209999,118.419998,6236200,117.555904
2016-03-07,117.029999,117.57,116.120003,117.150002,5640700,116.295174
2016-03-04,116.720001,117.449997,115.900002,117.18,5857400,116.324954
2016-03-03,117.480003,117.480003,115.32,116.690002,9132000,115.838532
2016-03-02,118.559998,118.730003,117.660004,118.480003,4267700,117.615471
2016-03-01,117.910004,119.190002,117.769997,118.849998,4731500,117.982767
2016-02-29,116.800003,118.370003,116.709999,117.190002,6467700,116.334883
