Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,111.650002,113.949997,111.480003,112.68,10526400,111.881203
2016-04-18,110.00,111.099998,109.669998,110.93,7772500,110.143609
2016-04-15,110.07,110.400002,109.50,110.18,10057900,109.398926
2016-04-14,110.00,110.290001,109.449997,109.839996,4457100,109.061332
2016-04-13,110.00,110.349998,109.309998,109.870003,5758300,109.091126
2016-04-12,109.00,110.239998,108.75,109.599998,8412300,108.823035
2016-04-11,109.150002,109.620003,108.650002,108.970001,6823900,108.197504
2016-04-08,109.370003,109.639999,108.760002,109.099998,6301600,108.32658
2016-04-07,109.00,109.620003,108.629997,109.269997,7822900,108.495373
2016-04-06,108.720001,109.50,107.879997,109.419998,6828700,108.644311
2016-04-05,108.230003,109.839996,108.010002,108.949997,7939000,108.177642
2016-04-04,108.82,109.099998,108.260002,108.589996,10668900,107.820193
2016-04-01,108.00,109.290001,107.690002,109.190002,9043200,108.415946
2016-03-31,108.860001,108.980003,108.040001,108.199997,8167700,107.432959
2016-03-30,109.449997,109.559998,108.93,108.980003,5248200,108.207436
2016-03-29,108.300003,109.25,107.739998,109.139999,6612800,108.366297
2016-03-28,108.410004,108.900002,108.059998,108.230003,4738100,107.462752
2016-03-24,108.220001,108.610001,107.75,108.309998,6284500,107.542179
2016-03-23,107.290001,108.830002,107.199997,108.50,8191300,107.730835
2016-03-22,107.279999,107.629997,107.050003,107.379997,7821700,106.618772
2016-03-21,107.410004,107.75,106.550003,107.279999,7674700,106.519482
2016-03-18,106.989998,107.839996,106.360001,107.50,14758300,106.737924
2016-03-17,107.470001,107.599998,106.449997,106.739998,8571100,105.98331
2016-03-16,107.730003,107.779999,106.879997,107.410004,7065100,106.648566
2016-03-15,107.620003,108.349998,106.760002,107.760002,8476600,106.996083
2016-03-14,107.919998,108.300003,107.309998,107.660004,7242800,106.896793
2016-03-11,107.50,107.989998,107.209999,107.709999,7763800,106.946434
2016-03-10,106.989998,107.480003,106.07,107.139999,10474700,106.380476
2016-03-09,106.839996,107.019997,106.089996,106.839996,7564200,106.082599
2016-03-08,106.519997,106.769997,105.970001,106.220001,7632900,105.466999
2016-03-07,106.00,106.919998,105.489998,106.739998,6973500,105.98331
2016-03-04,106.510002,106.980003,106.07,106.50,6715700,105.745013
2016-03-03,106.82,107.00,105.629997,106.650002,6927200,105.893951
2016-03-02,106.910004,107.410004,106.43,107.040001,9767000,106.281186
2016-03-01,105.900002,107.239998,105.440002,107.220001,8298500,106.45991
2016-02-29,105.279999,106.199997,105.040001,105.209999,10111100,104.464157
2016-02-26,106.82,106.919998,105.419998,105.779999,9049400,105.030116
2016-02-25,104.949997,106.389999,104.769997,106.379997,8092500,105.625861
2016-02-24,103.339996,105.080002,102.970001,104.959999,9076100,104.215929
2016-02-23,104.650002,104.790001,103.959999,104.080002,6629200,103.342171
2016-02-22,104.160004,104.75,104.050003,104.75,6947000,104.007419
2016-02-19,103.580002,104.68,103.379997,104.160004,9343300,103.421605
2016-02-18,102.830002,104.68,102.50,104.239998,10744600,102.756351
2016-02-17,102.75,103.239998,102.230003,102.50,8904000,101.041118
2016-02-16,102.370003,103.050003,101.650002,102.32,10452800,100.86368
2016-02-12,101.82,101.980003,100.720001,101.82,9035000,100.370796
2016-02-11,100.459999,102.019997,99.980003,101.699997,12465800,100.252502
2016-02-10,102.050003,102.910004,101.370003,101.730003,9833100,100.282081
2016-02-09,101.309998,102.239998,100.970001,101.970001,10044500,100.518663
2016-02-08,100.309998,103.510002,100.220001,102.00,14323800,100.548235
2016-02-05,102.660004,102.769997,99.779999,100.540001,15522200,99.109016
2016-02-04,103.610001,104.089996,102.730003,103.900002,10389000,102.421194
2016-02-03,103.650002,104.379997,102.010002,104.139999,10168600,102.657775
2016-02-02,103.300003,104.260002,103.00,103.410004,10616300,101.93817
2016-02-01,103.610001,104.790001,103.220001,104.370003,9803700,102.884505
2016-01-29,102.889999,104.75,102.629997,104.440002,15614600,102.953509
2016-01-28,102.50,103.040001,101.849998,102.269997,12789500,100.814388
2016-01-27,100.489998,103.379997,100.489998,102.160004,19330500,100.705961
2016-01-26,97.260002,101.339996,97.139999,101.18,17266600,99.739906
2016-01-25,96.720001,97.690002,96.040001,96.400002,9350200,95.027941
2016-01-22,97.019997,97.089996,95.949997,96.75,8380000,95.372958
2016-01-21,95.769997,96.639999,94.279999,95.940002,11266400,94.574489
2016-01-20,96.110001,97.279999,94.529999,95.75,12685200,94.387191
2016-01-19,97.93,98.410004,96.900002,97.50,12457800,96.112283
2016-01-15,96.370003,98.00,96.25,97.00,12662200,95.6194
2016-01-14,97.099998,99.470001,97.00,98.889999,10164300,97.482499
2016-01-13,98.489998,98.980003,96.839996,97.019997,8290700,95.639112
2016-01-12,97.989998,98.629997,97.239998,98.239998,6745000,96.841749
2016-01-11,98.239998,98.629997,96.080002,97.57,8151400,96.181287
2016-01-08,99.879997,99.940002,97.849998,98.160004,9766700,96.762893
2016-01-07,99.309998,100.089996,98.879997,99.220001,9433100,97.807804
2016-01-06,99.82,100.970001,99.599998,100.389999,7733800,98.961149
2016-01-05,100.580002,101.440002,100.57,100.900002,6467200,99.463892
2016-01-04,101.709999,101.809998,99.449997,100.480003,12722800,99.049872
